RSN,Component,Magnitude,HypD_km,Vs30_ms,PGA_Original,PGA_Generated,Error_Percent
5455,YMTH15EW,6.8,165.33,285.91,0.01643548180704392,0.0001878536568256095,98.85702373054194
5455,YMTH15NS,6.8,165.33,285.91,0.013199151663377099,0.0001912188745336607,98.55127905633341
5455,YMTH15UD,6.8,165.33,285.91,0.008682379594024979,0.00019192445324733853,97.78949479035198
5456,AKT001EW,6.9,145.37,417.31,0.015347805456235007,4.287611591280438e-05,99.72063682957757
5456,AKT001NS,6.9,145.37,417.31,0.012295439497679967,4.2642943299142644e-05,99.65318081303894
5456,AKT001UD,6.9,145.37,417.31,0.00507398668306487,4.263155642547645e-05,99.15980157047386
